,id,position,name,age_years,gender,country,sector,corp.,worth_busd,image
1113,3383,1114,Ana Lucia De Mattos Barretto Villela,44,Female,None,Finance And Investments ,Banking,2.2,https://specials-images.forbesimg.com/imageserve/58a0f2e44bbe6f0e55869e21/416x416.jpg?background=000000&cropX1=196&cropX2=510&cropY1=358&cropY2=672
1114,6924,1115,"Frank Fertitta, Iii.",56,Male,None,Sports ,"Casinos, Mixed Martial Arts",2.2,https://specials-images.forbesimg.com/imageserve/5f23069c31349e16f7c04304d5568c42/416x416.jpg?background=000000&cropX1=0&cropX2=600&cropY1=61&cropY2=661
1115,4711,1116,Lorenzo Fertitta,49,Male,None,Sports ,"Casinos, Mixed Martial Arts",2.2,https://specials-images.forbesimg.com/imageserve/59de7ce24bbe6f37dda0590f/416x416.jpg?background=000000&cropX1=2081&cropX2=3821&cropY1=148&cropY2=1887
1116,5568,1117,Maria Franca Fissolo,83,Female,Italy,Food And Beverage ,"Nutella, Chocolates",2.2,https://specials-images.forbesimg.com/imageserve/589f9d9fa7ea431f32194ceb/416x416.jpg?background=000000&cropX1=3&cropX2=689&cropY1=187&cropY2=873
1117,3063,1118,Alexander Frolov,54,Male,Russia,Metals & Mining ,"Mining, Steel",2.2,https://specials-images.forbesimg.com/imageserve/56cbf04fe4b062f6b59a4d8e/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=66&cropY2=809
1118,7572,1119,"Ernest Garcia, Ii.",61,Male,Usa,Automotive ,Used Cars,2.2,https://specials-images.forbesimg.com/imageserve/56cbf04fe4b062f6b59a4d8e/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=66&cropY2=809
1119,2038,1120,Alexandre Grendene Bartelle,68,Male,Brazil,Fashion & Retail ,Shoes,2.2,https://specials-images.forbesimg.com/imageserve/58a0f28031358e1a35ab39ff/416x416.jpg?background=000000&cropX1=196&cropX2=478&cropY1=292&cropY2=574
1120,4462,1121,Vinod & Anil Rai Gupta,72,Female,None,Manufacturing ,Electrical Equipment,2.2,https://specials-images.forbesimg.com/imageserve/57dc48144bbe6f6781c51190/416x416.jpg?background=000000&cropX1=24&cropX2=716&cropY1=153&cropY2=846
1121,3599,1122,Torstein Hagen,75,Male,None,Service ,Cruises,2.2,https://specials-images.forbesimg.com/imageserve/5a99ba6c31358e79a28ad224/416x416.jpg?background=000000&cropX1=489&cropX2=3188&cropY1=179&cropY2=2880
1122,3521,1123,He Qiaonv,52,Female,China,Service ,Landscape Architecture,2.2,https://specials-images.forbesimg.com/imageserve/589cfcd8a7ea431f32192891/416x416.jpg?background=000000&cropX1=92&cropX2=744&cropY1=147&cropY2=800
1123,7836,1124,Hans-Werner Hector,78,None,Germany,Technology ,Sap,2.2,https://specials-images.forbesimg.com/imageserve/5a7e15ec31358e4955ad1042/416x416.jpg?background=000000&cropX1=317&cropX2=1248&cropY1=121&cropY2=1053
1124,1096,1125,Stanley Hubbard,85,Male,Usa,Media & Entertainment ,Directv,2.2,https://specials-images.forbesimg.com/imageserve/59de6c0f4bbe6f37dda056b5/416x416.jpg?background=000000&cropX1=334&cropX2=743&cropY1=161&cropY2=570
1125,9712,1126,Ke Xiping,58,Male,China,Diversified ,Investments,2.2,https://specials-images.forbesimg.com/imageserve/56292849e4b0ffa7afe6288d/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=6&cropY2=750
1126,2851,1127,Suna Kirac,77,None,None,Diversified ,Diversified,2.2,https://specials-images.forbesimg.com/imageserve/fe7bd4a88f7182c8343ea40c37bb3711/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=79&cropY2=823
1127,8567,1128,Kong Jian Min,50,Male,None,Real Estate ,Real Estate,2.2,https://specials-images.forbesimg.com/imageserve/58a658d831358e1a35ab8d3a/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=10&cropY2=754
1128,8757,1129,Koo Bon-Moo,73,None,None,Diversified ,Diversified,2.2,https://specials-images.forbesimg.com/imageserve/5a8104694bbe6f2652f5445a/416x416.jpg?background=000000&cropX1=1026&cropX2=3498&cropY1=384&cropY2=2853
1129,6883,1130,Heikki Kyostila,72,Male,None,Healthcare ,Dental Products,2.2,https://specials-images.forbesimg.com/imageserve/58c70b80a7ea431f321b0d52/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=48&cropY2=792
1130,2476,1131,Thomas Lee,74,None,None,Finance And Investments ,Private Equity,2.2,https://specials-images.forbesimg.com/imageserve/55fb08f5e4b0ffa7afe4b3f6/416x416.jpg?background=000000&cropX1=97&cropX2=641&cropY1=44&cropY2=589
1131,7926,1132,Eric Lefkofsky,48,Male,None,Technology ,Groupon,2.2,https://specials-images.forbesimg.com/imageserve/5aabd0b94bbe6f0fa8287d8a/416x416.jpg?background=000000&cropX1=1983&cropX2=5067&cropY1=87&cropY2=3173
1132,4171,1133,Peter Lim,65,Male,None,Finance And Investments ,Investments,2.2,https://specials-images.forbesimg.com/imageserve/5a80f0caa7ea431690133ec9/416x416.jpg?background=000000&cropX1=238&cropX2=1550&cropY1=5&cropY2=1319
